Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homepage,Chrome 132.0.0.0,,,17-02-2025 09:56:33,17-02-2025 09:57:22,48.849s,PASSED
,,,,,,,
Test Cases/Specific Cases/LS/General/Homepage/My Agenda,Chrome 132.0.0.0,,,17-02-2025 09:56:36,17-02-2025 09:57:22,46.134s,PASSED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",Chrome 132.0.0.0,,,17-02-2025 09:56:38,17-02-2025 09:57:09,31.730s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/a_Homepage""))",Chrome 132.0.0.0,,,17-02-2025 09:57:09,17-02-2025 09:57:14,4.218s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_Admission Agreement""), ""Admission Agreement"")",Chrome 132.0.0.0,,,17-02-2025 09:57:14,17-02-2025 09:57:17,3.826s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_C Automation, C Client""), ""C Automation, C Client"")",Chrome 132.0.0.0,,,17-02-2025 09:57:17,17-02-2025 09:57:18,0.533s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_B Automation, B Client""), ""B Automation, B Client"")",Chrome 132.0.0.0,,,17-02-2025 09:57:18,17-02-2025 09:57:18,0.530s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_C Automation, C Client_1""), ""C Automation, C Client"")",Chrome 132.0.0.0,,,17-02-2025 09:57:18,17-02-2025 09:57:19,0.372s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_A Automation, A Client""), ""A Automation, A Client"")",Chrome 132.0.0.0,,,17-02-2025 09:57:19,17-02-2025 09:57:19,0.381s,PASSED
closeBrowser(),Chrome 132.0.0.0,,,17-02-2025 09:57:19,17-02-2025 09:57:22,2.666s,PASSED
