Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Census,,,,20-02-2025 11:32:00,20-02-2025 11:33:09,1m - 8.849s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Census/Census_Location_Filter,,,Census,20-02-2025 11:32:01,20-02-2025 11:32:19,18.687s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:03,20-02-2025 11:32:19,16.322s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Census/Census_Program_Filter,,,Census,20-02-2025 11:32:19,20-02-2025 11:32:31,11.412s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:20,20-02-2025 11:32:31,10.728s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Census/Census_Sorting,,,,20-02-2025 11:32:31,20-02-2025 11:32:39,7.675s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:32,20-02-2025 11:32:39,6.323s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Census/Census_Searching_and_Toggle_Columns,,,,20-02-2025 11:32:39,20-02-2025 11:32:44,5.371s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:40,20-02-2025 11:32:44,4.356s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Census/Census_forward_back_functions,,,,20-02-2025 11:32:44,20-02-2025 11:32:47,3.419s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:44,20-02-2025 11:32:47,3.112s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Bed Board/Bed_Board_Filters,,,,20-02-2025 11:32:47,20-02-2025 11:32:51,3.792s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:48,20-02-2025 11:32:51,3.062s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Bed Board/Bed_Board_Notes,,,,20-02-2025 11:32:51,20-02-2025 11:32:55,3.487s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:51,20-02-2025 11:32:55,3.251s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Bed Board/Bed_Board_forward_back_fucntions,,,,20-02-2025 11:32:55,20-02-2025 11:32:58,3.670s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:55,20-02-2025 11:32:58,3.382s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Advance Census/Advance_Census_ Filter,,,,20-02-2025 11:32:58,20-02-2025 11:33:02,3.605s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:59,20-02-2025 11:33:02,3.288s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Client Face Sheets/Client_Face_Sheets_Filters,,,,20-02-2025 11:33:02,20-02-2025 11:33:06,3.833s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:33:02,20-02-2025 11:33:06,3.451s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/General/Census/Client Face Sheets/Client_Face_Sheets_Search,,,,20-02-2025 11:33:06,20-02-2025 11:33:09,2.742s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:33:06,20-02-2025 11:33:09,2.436s,FAILED
