Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homepage,Chrome 131.0.0.0,,,02-12-2024 15:36:59,02-12-2024 15:37:40,41.251s,PASSED
,,,,,,,
Test Cases/Specific Cases/LS/General/Homepage/My Agenda,Chrome 131.0.0.0,,,02-12-2024 15:37:00,02-12-2024 15:37:40,40.043s,PASSED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,02-12-2024 15:37:01,02-12-2024 15:37:31,29.550s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/a_Homepage""))",Chrome 131.0.0.0,,,02-12-2024 15:37:31,02-12-2024 15:37:35,3.851s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_Admission Agreement""), ""Admission Agreement"")",Chrome 131.0.0.0,,,02-12-2024 15:37:35,02-12-2024 15:37:39,3.876s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_C Automation, C Client""), ""C Automation, C Client"")",Chrome 131.0.0.0,,,02-12-2024 15:37:39,02-12-2024 15:37:39,0.300s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_B Automation, B Client""), ""B Automation, B Client"")",Chrome 131.0.0.0,,,02-12-2024 15:37:39,02-12-2024 15:37:39,0.285s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_C Automation, C Client_1""), ""C Automation, C Client"")",Chrome 131.0.0.0,,,02-12-2024 15:37:39,02-12-2024 15:37:39,0.296s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_A Automation, A Client""), ""A Automation, A Client"")",Chrome 131.0.0.0,,,02-12-2024 15:37:39,02-12-2024 15:37:40,0.297s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,02-12-2024 15:37:40,02-12-2024 15:37:40,0.273s,PASSED
